,function,size,pvalue,statistic
1279,ptrace_may_access,56,2.0226430825947795e-16,28.467290054278298
946,hrtimer_init,56,2.0612493016722568e-16,28.436773468101713
1011,futex_hash,56,2.120232383682826e-16,28.391294598563626
181,commit_creds,56,2.4289897340368627e-16,33.959690965918426
674,device_get_devnode,56,2.5585195427185165e-16,28.090175940708722
1131,get_ucounts,56,2.678228358771156e-16,28.01736205411767
336,shmem_recalc_inode,56,2.7717912327866084e-16,27.962801687905383
97,alloc_vmap_area,56,2.8220735523001506e-16,33.63864503457212
880,ext4_generic_write_checks,56,2.8464082406332473e-16,27.92066342727556
1722,mem_cgroup_from_slab_obj,56,2.91584730483241e-16,42.92315639544714
1036,flush_sigqueue,56,2.9751353611714644e-16,27.850634450044463
567,rmqueue_bulk,56,2.9924403973164837e-16,27.841464637651455
421,put_task_stack,56,3.0474783892247607e-16,27.812667804686356
301,special_mapping_fault,56,3.1024502941624877e-16,27.784447768940314
86,block_uevent,56,3.122815185084232e-16,33.42357928123789
173,apparmor_cred_prepare,56,3.1377916243129164e-16,33.41345129934435
527,setattr_prepare,56,3.3463349284478225e-16,27.66530006536243
168,apparmor_bprm_committing_creds,56,3.3609036059933075e-16,33.26836913153997
1401,obj_cgroup_charge,56,3.5286523859114755e-16,27.582063975038373
387,sigprocmask,56,3.5630016469725896e-16,27.56689044358613
1250,policy_nodemask,56,3.602497437834025e-16,27.549632941573265
1337,p4d_clear_huge,56,3.768110735865047e-16,27.479378429367657
1506,map_id_range_down,56,3.84814365455509e-16,42.07488616996719
479,should_fail_bio,56,3.956267811669519e-16,27.403407465417523
911,futex_unqueue,56,4.129075311800993e-16,27.336917453193927
827,current_in_userns,56,4.32601208700865e-16,27.2646304558034
1062,get_cached_acl,56,4.389330922264991e-16,27.242123933732977
169,apparmor_inode_setattr,56,5.506823423842366e-16,32.24333797382062
1619,ktime_add_safe,56,5.992776177079714e-16,40.7545970281606
70,block_devnode,56,6.368067708099217e-16,31.947584153691956
568,security_d_instantiate,56,6.769014911054022e-16,26.579259933893187
835,disassociate_ctty,56,6.807399703795158e-16,26.57070957710418
1609,init_wait_entry,56,6.830882003449686e-16,40.37231036739857
1489,locks_free_lock_context,56,6.895829456695874e-16,40.34481114921364
305,skb_queue_tail,56,7.479308419871739e-16,26.428760221041006
877,dequeue_signal,56,7.823517263599911e-16,28.661608253515833
22,anon_vma_clone,56,7.827524696859639e-16,31.53210907648472
903,folio_batch_remove_exceptionals,56,8.030793772163542e-16,26.32195515614982
918,get_mmap_base,56,8.182242781041658e-16,26.293975213437964
871,exit_thread,56,8.34975081328243e-16,26.263657313984464
154,blk_mq_flush_busy_ctxs,56,8.435956285915437e-16,31.38268880945508
1432,put_files_struct,56,8.462714457985697e-16,26.243571422817475
248,blk_add_rq_to_plug,56,8.622359164027876e-16,31.33919279853394
272,cp_new_stat,56,8.720183052318684e-16,31.316763815392346
955,ima_inode_post_setattr,56,8.957833708059675e-16,26.158748079706214
1402,posix_cputimers_group_init,56,9.11327755977037e-16,26.13313402105418
357,setattr_should_drop_suidgid,56,9.236095313859558e-16,26.11321969696705
1046,ima_file_check,56,9.825928571623306e-16,26.02131606033633
779,ext4_get_dummy_policy,56,1.0176447501570356e-15,25.969416014755026
922,ima_file_mmap,56,1.019738934060466e-15,25.966375135921094
793,ep_poll,56,1.0768684577795955e-15,25.885866398748504
836,evm_inode_setattr,56,1.1266747019109118e-15,25.81926924071046
796,down_read_trylock,56,1.1330078838291427e-15,25.811024108454
1042,fpu_reset_fpregs,56,1.150195910646605e-15,25.788889663121157
656,exit_mm_release,56,1.2683908266822642e-15,25.64552697746344
1146,fscrypt_show_test_dummy_encryption,56,1.296774210318754e-15,25.613196704620574
1130,futex_cleanup,56,1.3087766914591143e-15,25.599748973999066
525,shmem_pseudo_vma_init,56,1.3846415557265565e-15,25.517646530741256
1509,mm_trace_rss_stat,56,1.5270178946110153e-15,38.09919900350838
489,put_task_struct_rcu_user,56,1.571624811159937e-15,25.33399509381739
1349,pcpu_memcg_post_alloc_hook,56,1.65644797537084e-15,25.258151228085037
1397,pids_can_fork,56,1.734742326171474e-15,25.19169353518078
359,sk_getsockopt,56,1.7721330567223162e-15,25.161062813162413
1569,integrity_inode_free,56,1.827986096113131e-15,37.608336726746536
1333,pgd_ctor,56,2.069363552422671e-15,24.939401475197045
1172,ima_bprm_check,56,2.21799295145135e-15,24.84084552024777
299,security_vm_enough_memory_mm,56,2.2666701195451757e-15,24.810074803988538
194,autofs_show_options,56,2.2820584425326057e-15,29.460270103637413
1500,lru_cache_add_inactive_or_unevictable,56,2.3143763868211164e-15,36.97399960805435
1424,pipe_ioctl,56,2.33386934453213e-15,24.768721126185724
123,acct_process,56,2.3888833694707604e-15,29.37469050104735
1165,fpu__drop,56,2.5233602010091464e-15,24.65854438380557
1312,pcpu_next_fit_region.constprop.0,56,2.5598021890889208e-15,24.63835786345286
147,arch_align_stack,56,2.6681831090498053e-15,29.168837724288892
1162,get_sigframe_size,56,2.9374445511263895e-15,24.44541639028117
917,flush_signal_handlers,56,3.1566804928757157e-15,24.345062065865687
841,drop_nlink,56,3.546071729742344e-15,24.183713633693284
1184,forget_original_parent,56,3.618535180848683e-15,24.15575707422941
447,readlink_copy,56,3.627415275527845e-15,24.152371759314907
1373,pids_release,56,3.804051977677172e-15,24.086790552367006
1376,mnt_may_suid,56,4.120736226976004e-15,23.976872629909753
586,do_iter_readv_writev,56,4.3279595554316445e-15,40.66841694660749
1745,inode_has_buffers,56,4.352404923690182e-15,35.32702682077669
1381,mutex_unlock,56,4.602957075432294e-15,23.825531956308282
896,hook_inode_free_security,56,4.745392892212722e-15,23.78401432007329
515,security_inode_init_security,56,4.748470189574638e-15,23.78313189660515
1201,finalize_exec,56,4.836898411039171e-15,23.758029136575534
252,copy_namespaces,56,4.961025653999038e-15,28.03971366861775
251,copy_signal,56,5.397273210964229e-15,27.88956436696072
831,do_arch_prctl_common,56,5.8095658501151195e-15,23.510092153350445
1093,free_vmap_area_noflush,56,5.86523802559836e-15,23.497253916084347
1446,pmd_huge,56,5.87999856729272e-15,23.493871606448618
102,apparmor_path_mkdir,56,5.926016906335269e-15,27.72397024810543
